Item,Description,Link,Object type,Wiki Data,VIAF,LCSH,ISNI
Russo-Ukrainian war,"The armed conflict between Russia and Ukraine that began in 2014 and escalated into a full-scale invasion on 24 February 2022, directly triggering the adoption of Russia's war censorship laws.",https://en.wikipedia.org/wiki/Russo-Ukrainian_war,Event,Q15860072,,https://id.loc.gov/authorities/subjects/sh2023001220.html,
Federal Law No. 32-FZ of 4 March 2022,"Federal law introducing criminal liability for disseminating ""false information"" about the Russian Armed Forces, with penalties of up to 15 years imprisonment; the primary legal instrument of Russia's war censorship regime.",http://publication.pravo.gov.ru/document/0001202203040007,Document,Q111272312,,,
Novaya Gazeta,Independent Russian newspaper forced to suspend publication in March 2022 after receiving warnings from Roskomnadzor under the new censorship laws; its media licence was revoked in September 2022.,https://novayagazeta.ru/,Organization,Q170135,https://viaf.org/ru/viaf/210803108,https://id.loc.gov/authorities/names/no2021153865.html,
Marina Ovsyannikova,"Russian journalist and former Channel One editor who interrupted a live state television broadcast on 14 March 2022 holding an anti-war sign, becoming an international symbol of dissent; subsequently charged under the fakes law and sentenced to 8.5 years in absentia in October 2023.",https://en.wikipedia.org/wiki/Marina_Ovsyannikova,Pearson,Q111239656,https://viaf.org/viaf/391164782071208600004,,https://isni.org/isni/0000000512337302
Amnesty International Report,"Official statement by Amnesty International condemning the Russian authorities' crackdown on independent media and anti-war protesters, urging repeal of the laws adopted on 4 March 2022.",https://www.amnesty.org/en/documents/eur46/5345/2022/en/,Document,,,,
Bucha massacre,"The mass killing of Ukrainian civilians by Russian forces during the occupation of Bucha, evidence of which emerged on 1 April 2022. The trigger for criminal cases under the fakes law against bloggers and journalists who reported on the atrocities.",https://en.wikipedia.org/wiki/Bucha_massacre,Event,Q111988562,,,
OVD-Info,"Independent Russian human rights media project monitoring political persecution, which documented over 10,000 prosecutions under the 2022 war censorship laws and provided legal assistance to those charged.",https://ovd.info/en,Organization,Q33243309,https://viaf.org/ru/viaf/4054166007098375590007,,
Roskomnadzor,"Russia's federal media regulator responsible for enforcing the 2022 censorship laws, including blocking news websites, issuing warnings to media outlets, and overseeing the mass exodus of independent Russian media.",https://rkn.gov.ru/,Organization,Q129597,https://viaf.org/ru/viaf/33173969759423392099,,
ECHR ruling,"Judgment by the European Court of Human Rights finding that Russia's war censorship laws violated the European Convention on Human Rights, marking the first international legal ruling against the legislation.",https://www.echr.coe.int/w/judgment-concerning-the-russian-federation-19,Document,,,,
Alexei Gorinov,"Moscow municipal deputy who became the first person sentenced to imprisonment under Article 207.3 of the Criminal Code, receiving a seven-year prison term in July 2022 for calling Russia's invasion of Ukraine a ""war"" at a council meeting.",https://en.wikipedia.org/wiki/Alexei_Gorinov,Pearson,Q112971444,https://viaf.org/ru/viaf/529165750876954220003,,
Vladimir Kara-Murza,Russian-British opposition politician charged under Article 207.3 following his speech to the Arizona House of Representatives on 15 March 2022 criticising the invasion; sentenced to 25 years in prison in April 2023 in the harshest sentence handed to a political opponent since the start of the war.,https://en.wikipedia.org/wiki/Vladimir_Kara-Murza,Pearson,Q4213414,https://viaf.org/viaf/187459324,https://id.loc.gov/authorities/names/n2011073476.html,https://isni.org/isni/0000000140042748